instance,data_set,n_items,config,lower_bound,initial_height,rls_height,gap_initial_pct,gap_rls_pct,elapsed_s,evaluations
C1P1,data/c,16,bf-classic,20,21,20,5.0000,0.0000,0.2,6142
C1P1,data/c,16,stage1-best,20,22,20,10.0000,0.0000,0.1,4145
C1P1,data/c,16,stage2-best,20,21,20,5.0000,0.0000,0.0,8
C1P2,data/c,17,bf-classic,20,25,20,25.0000,0.0000,0.1,1673
C1P2,data/c,17,stage1-best,20,22,20,10.0000,0.0000,0.6,17417
C1P2,data/c,17,stage2-best,20,22,20,10.0000,0.0000,0.0,257
C1P3,data/c,16,bf-classic,20,21,20,5.0000,0.0000,0.0,318
C1P3,data/c,16,stage1-best,20,22,20,10.0000,0.0000,0.1,2058
C1P3,data/c,16,stage2-best,20,21,20,5.0000,0.0000,0.0,16
C2P1,data/c,25,bf-classic,15,18,15,20.0000,0.0000,3.8,73478
C2P1,data/c,25,stage1-best,15,18,16,20.0000,6.6667,20.0,379051
C2P1,data/c,25,stage2-best,15,16,15,6.6667,0.0000,1.5,12899
C2P2,data/c,25,bf-classic,15,17,15,13.3333,0.0000,0.6,12546
C2P2,data/c,25,stage1-best,15,16,15,6.6667,0.0000,16.1,316857
C2P2,data/c,25,stage2-best,15,15,15,0.0000,0.0000,0.0,6
C2P3,data/c,25,bf-classic,15,16,15,6.6667,0.0000,0.1,2166
C2P3,data/c,25,stage1-best,15,17,15,13.3333,0.0000,5.3,104404
C2P3,data/c,25,stage2-best,15,15,15,0.0000,0.0000,0.0,6
C3P1,data/c,28,bf-classic,30,32,30,6.6667,0.0000,2.8,42980
C3P1,data/c,28,stage1-best,30,32,31,6.6667,3.3333,20.0,291475
C3P1,data/c,28,stage2-best,30,31,30,3.3333,0.0000,0.1,929
C3P2,data/c,29,bf-classic,30,32,31,6.6667,3.3333,20.0,283061
C3P2,data/c,29,stage1-best,30,33,31,10.0000,3.3333,20.0,271818
C3P2,data/c,29,stage2-best,30,32,30,6.6667,0.0000,16.3,105380
C3P3,data/c,28,bf-classic,30,33,31,10.0000,3.3333,20.0,287306
C3P3,data/c,28,stage1-best,30,33,31,10.0000,3.3333,20.0,286835
C3P3,data/c,28,stage2-best,30,31,30,3.3333,0.0000,0.0,264
C4P1,data/c,49,bf-classic,60,63,61,5.0000,1.6667,20.0,161183
C4P1,data/c,49,stage1-best,60,63,61,5.0000,1.6667,20.0,157922
C4P1,data/c,49,stage2-best,60,63,60,5.0000,0.0000,4.9,14579
C4P2,data/c,49,bf-classic,60,66,61,10.0000,1.6667,20.0,153468
C4P2,data/c,49,stage1-best,60,64,61,6.6667,1.6667,20.0,141187
C4P2,data/c,49,stage2-best,60,62,60,3.3333,0.0000,1.6,4838
C4P3,data/c,49,bf-classic,60,62,61,3.3333,1.6667,20.0,144574
C4P3,data/c,49,stage1-best,60,63,61,5.0000,1.6667,20.0,146214
C4P3,data/c,49,stage2-best,60,62,60,3.3333,0.0000,2.4,6763
C5P1,data/c,73,bf-classic,90,94,91,4.4444,1.1111,20.0,75890
C5P1,data/c,73,stage1-best,90,92,91,2.2222,1.1111,20.0,73026
C5P1,data/c,73,stage2-best,90,91,90,1.1111,0.0000,0.5,518
C5P2,data/c,73,bf-classic,90,93,91,3.3333,1.1111,20.0,74213
C5P2,data/c,73,stage1-best,90,94,92,4.4444,2.2222,20.0,65582
C5P2,data/c,73,stage2-best,90,92,90,2.2222,0.0000,1.5,1602
C5P3,data/c,73,bf-classic,90,94,91,4.4444,1.1111,20.0,62837
C5P3,data/c,73,stage1-best,90,93,91,3.3333,1.1111,20.0,63634
C5P3,data/c,73,stage2-best,90,92,90,2.2222,0.0000,0.5,569
C6P1,data/c,97,bf-classic,120,123,122,2.5000,1.6667,20.0,49618
C6P1,data/c,97,stage1-best,120,124,122,3.3333,1.6667,20.0,47329
C6P1,data/c,97,stage2-best,120,122,120,1.6667,0.0000,17.1,11615
C6P2,data/c,97,bf-classic,120,124,121,3.3333,0.8333,20.0,58317
C6P2,data/c,97,stage1-best,120,124,122,3.3333,1.6667,20.0,57864
C6P2,data/c,97,stage2-best,120,124,120,3.3333,0.0000,0.1,56
C6P3,data/c,97,bf-classic,120,124,121,3.3333,0.8333,20.0,50543
C6P3,data/c,97,stage1-best,120,123,121,2.5000,0.8333,20.0,51761
C6P3,data/c,97,stage2-best,120,122,120,1.6667,0.0000,7.2,6400
C7P1,data/c,196,bf-classic,240,246,243,2.5000,1.2500,20.0,20406
C7P1,data/c,196,stage1-best,240,246,244,2.5000,1.6667,20.0,19036
