axis,level,marginal_gap_pct,cells
ordering,width,11.4932,3744
ordering,height,19.1117,3744
ordering,area,13.4152,3744
ordering,perimeter,11.5437,3744
ordering,maxside,11.4932,3744
ordering,diagonal,11.6750,3744
selection,widest-fit,10.4094,3744
selection,first-fit,11.6247,3744
selection,tre,11.9568,3744
selection,nre,13.7453,3744
selection,fitness-number,12.0112,3744
selection,max-area,18.9848,3744
placement,LM,13.1721,3744
placement,RM,13.2003,3744
placement,TN,12.5256,3744
placement,SN,13.6237,3744
placement,MinD,13.0557,3744
placement,MaxD,13.1547,3744
