instance,n_items,lower_bound,bf-LM,bbf-best288,twbf-best18,fh,cch_best_single,cch_portfolio12,cch_enum864
C1P1,16,20,21,21,21,20,21,21,21
C1P2,17,20,22,21,21,21,24,21,21
C1P3,16,20,24,21,21,21,21,20,20
C2P1,25,15,17,16,16,16,17,16,16
C2P2,25,15,16,16,16,16,18,15,15
C2P3,25,15,18,15,17,15,16,15,15
C3P1,28,30,32,31,32,31,33,31,31
C3P2,29,30,34,32,33,32,34,32,31
C3P3,28,30,33,32,33,32,31,31,31
C4P1,49,60,63,62,63,61,63,62,62
C4P2,49,60,64,62,62,61,63,62,62
C4P3,49,60,62,61,62,61,65,61,61
C5P1,73,90,94,92,92,91,93,91,91
C5P2,73,90,93,91,92,91,92,92,91
C5P3,73,90,94,92,92,91,98,92,91
C6P1,97,120,124,122,123,121,122,122,121
C6P2,97,120,124,123,122,121,124,122,122
C6P3,97,120,124,121,123,121,125,122,121
C7P1,196,240,246,243,245,241,245,243,242
C7P2,197,240,246,244,244,241,244,243,241
C7P3,196,240,245,242,245,241,243,242,242
BKW01,10,40,48,40,40,40,40,40,40
BKW02,20,50,55,53,53,50,53,52,52
BKW03,30,50,54,52,52,51,53,51,51
BKW04,40,80,86,82,84,83,83,82,82
BKW05,50,100,105,103,104,103,106,102,102
BKW06,60,100,102,102,102,102,102,101,101
BKW07,70,100,110,104,108,102,116,102,102
BKW08,80,80,85,82,83,81,83,82,82
BKW09,100,150,163,152,154,153,152,152,151
BKW10,200,150,153,151,152,151,151,151,151
BKW11,300,150,153,151,152,151,152,151,151
BKW12,500,300,347,302,306,302,302,302,301
BKW13,3152,960,968,,964,960,964,961,960
N1A,17,200,229,220,226,239,217,217,217
N1B,17,200,235,218,220,222,231,214,212
N1C,17,200,261,214,217,230,221,206,206
N1D,17,200,213,213,213,213,216,213,213
N1E,17,200,232,216,220,216,216,213,213
N2A,25,200,236,213,216,215,214,214,211
N2B,25,200,230,217,215,212,217,214,212
N2C,25,200,237,216,216,212,220,215,215
N2D,25,200,219,214,213,213,212,212,210
N2E,25,200,222,216,218,224,217,212,211
N3A,29,200,215,216,213,216,232,213,213
N3B,29,200,217,213,217,212,214,214,213
N3C,29,200,229,214,214,212,225,212,212
N3D,29,200,230,214,214,216,219,212,211
N3E,29,200,214,210,214,211,212,212,210
N4A,49,200,223,207,213,213,216,209,209
N4B,49,200,213,211,213,213,208,208,207
N4C,49,200,214,209,211,210,214,208,208
N4D,49,200,208,208,207,211,235,207,207
N4E,49,200,216,210,209,209,230,211,209
N5A,73,200,213,211,210,208,218,210,206
N5B,73,200,209,207,207,206,209,207,207
N5C,73,200,218,209,209,206,216,209,209
N5D,73,200,213,210,213,206,213,206,206
N5E,73,200,212,211,209,207,214,207,207
N6A,97,200,211,208,208,204,210,206,206
N6B,97,200,215,207,208,204,205,205,205
N6C,97,200,215,209,206,202,214,207,205
N6D,97,200,207,206,206,202,206,206,203
N6E,97,200,217,207,211,205,207,207,207
N7A,197,200,205,202,203,201,206,202,202
N7B,197,200,205,204,203,201,206,201,201
N7C,197,200,209,205,205,201,204,203,203
N7D,197,200,204,202,204,201,204,203,203
N7E,197,200,205,204,205,201,208,203,201
T1A,17,200,239,222,214,224,221,220,212
T1B,17,200,213,213,213,213,216,213,213
T1C,17,200,251,227,241,246,221,212,212
T1D,17,200,210,210,210,222,216,212,210
T1E,17,200,248,222,230,249,218,218,216
T2A,25,200,226,215,216,218,224,213,213
T2B,25,200,217,218,214,224,223,212,212
T2C,25,200,220,218,220,220,239,212,212
T2D,25,200,222,216,218,224,217,212,211
T2E,25,200,230,217,215,212,217,214,212
T3A,29,200,230,214,214,216,219,212,211
T3B,29,200,228,214,214,211,211,211,211
T3C,29,200,220,216,212,210,218,213,212
T3D,29,200,230,215,215,212,228,216,213
T3E,29,200,217,213,217,212,214,214,213
T4A,49,200,212,207,210,211,211,207,207
T4B,49,200,214,209,211,210,214,208,208
T4C,49,200,208,208,207,211,235,207,207
T4D,49,200,223,207,213,213,216,209,209
T4E,49,200,213,211,213,213,208,208,207
T5A,73,200,218,209,209,206,216,209,209
T5B,73,200,226,210,210,205,210,209,209
T5C,73,200,213,211,210,208,218,210,206
T5D,73,200,213,210,213,206,213,206,206
T5E,73,200,209,207,207,206,209,207,207
T6A,97,200,210,205,207,202,211,206,206
T6B,97,200,215,209,206,202,214,207,205
T6C,97,200,217,207,211,205,207,207,207
T6D,97,200,215,207,208,204,205,205,205
T6E,97,200,210,206,205,202,219,206,205
T7A,199,200,204,203,203,201,204,203,202
T7B,199,200,206,204,204,201,205,202,202
T7C,199,200,206,203,206,201,207,203,203
T7D,199,200,204,203,203,201,208,203,202
T7E,199,200,207,203,205,201,204,204,202
